sentence,entity_1,entity_2,relation_label,entity_1_original,entity_2_original
"Background: Alzheimer's disease and related dementias (ADRD) are 
neurodegenerative disorders that afflict 1 in 9 older adults.",Alzheimer's disease,adrd,associated_with,Alzheimer's disease,ADRD
"BackgroundThe alternative splicing (AS) of MAPT, which encodes Tau, in the adult 
human brain produces six major isoforms that play critical roles in the 
pathogenesis of tauopathies including Alzheimer's disease.",Alzheimer's disease,tauopathies,associated_with,Alzheimer's disease,tauopathies
"BackgroundCurrent therapies for cognitive impairment, including Alzheimer's 
disease (AD) and mild cognitive impairment, are limited by a lack of universal 
treatment and adverse effects associated with polypharmacy.",Alzheimer's disease,ad,equivalent,"Alzheimer's 
disease",AD
"BackgroundCurrent therapies for cognitive impairment, including Alzheimer's 
disease (AD) and mild cognitive impairment, are limited by a lack of universal 
treatment and adverse effects associated with polypharmacy.",Alzheimer's disease,cognitive impairment,associated_with,"Alzheimer's 
disease",cognitive impairment
"BackgroundThe involvement of microglia is likely to be pivotal in the 
pathogenesis of Alzheimer's disease (AD) by modulating the deposition of 
amyloid-Î² (AÎ²) plaques.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"BackgroundLow-intensity focused ultrasound (LIFU), a non-invasive targeted brain 
stimulation technology, has shown promise for therapeutic applications in 
Alzheimer's disease (AD) patients.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"BackgroundImpairments in orientation in space, time, and person occur frequently 
in Alzheimer's disease (AD) dementia.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,
"BackgroundLecanemab, a monoclonal antibody targeting amyloid-Î² plaques, is 
FDA-approved for early Alzheimer's disease (AD) treatment.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"ObjectiveThis study aims to integrate single-nuclei sequencing data from 
the Seattle Alzheimer's Disease Cortical Atlas (SEA-AD) with spatial 
transcriptomics to quantify cellular changes in the prefrontal cortex and 
temporal gyrus, regions vulnerable to AD neuropathological changes 
(ADNC).MethodsWe mapped differentially expressed genes (DEGs) and analyzed their 
interactions with pathological factors such as APOE expression and Lewy bodies.",Alzheimer's disease,lewy,unrelated,Alzheimer's Disease Cortical Atlas,Lewy
"BackgroundNeuropsychological (NP) assessment is crucial for diagnosing prodromal 
and Alzheimer's disease and related dementia (ADRD) syndromes.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia
"BackgroundNeuropsychological (NP) assessment is crucial for diagnosing prodromal 
and Alzheimer's disease and related dementia (ADRD) syndromes.",Alzheimer's disease,adrd,associated_with,Alzheimer's disease,ADRD
"Author information:
(1)Department of Neurology, Mayo Clinic, Rochester, MN, USA.
(2)Department of Laboratory Medicine and Pathology, University of Minnesota, 
Minneapolis, MN, USA.
(3)Department of Epidemiology and Prevention, Wake Forest University, 
Winston-Salem, NC, USA.
(4)Department of Psychiatry & Psychology, Mayo Clinic, Rochester, MN, USA.
(5)Department of Radiology, Mayo Clinic, Rochester, MN, USA.

BackgroundStudies suggest that plasma Alzheimer's disease (AD) biomarkers may 
aid in the overall diagnosis of AD, but their utility among patients with 
atypical clinical presentations of AD are unknown.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), Alzheimer's disease (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro.",Alzheimer's disease,amyotrophic lateral sclerosis,ambiguous,Alzheimer's disease,amyotrophic lateral sclerosis
"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), Alzheimer's disease (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), Alzheimer's disease (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro.",Alzheimer's disease,pd,ambiguous,Alzheimer's disease,PD
"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), Alzheimer's disease (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro.",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease
"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), Alzheimer's disease (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro.",Alzheimer's disease,als,ambiguous,Alzheimer's disease,ALS
"The core target proteins among 
the duplicate targets were primarily involved in pathways related to cancer, 
lipid and atherosclerosis, hepatitis B, proteoglycans in cancer, and Alzheimer's 
disease.",Alzheimer's disease,atherosclerosis,ambiguous,"Alzheimer's 
disease",atherosclerosis
"The core target proteins among 
the duplicate targets were primarily involved in pathways related to cancer, 
lipid and atherosclerosis, hepatitis B, proteoglycans in cancer, and Alzheimer's 
disease.",Alzheimer's disease,cancer,ambiguous,"Alzheimer's 
disease",cancer
"The core target proteins among 
the duplicate targets were primarily involved in pathways related to cancer, 
lipid and atherosclerosis, hepatitis B, proteoglycans in cancer, and Alzheimer's 
disease.",Alzheimer's disease,hepatitis b,ambiguous,"Alzheimer's 
disease",hepatitis B
"Oral 
administration of ZSS hot water extract ameliorated AÎ² and tau pathology and 
cognitive impairment in mouse models of Alzheimer's disease and frontotemporal 
dementia.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease and frontotemporal,dementia
"Oral 
administration of ZSS hot water extract ameliorated AÎ² and tau pathology and 
cognitive impairment in mouse models of Alzheimer's disease and frontotemporal 
dementia.",Alzheimer's disease,cognitive impairment,associated_with,Alzheimer's disease and frontotemporal,cognitive impairment
"Virtual reality as a complementary therapy in the rehabilitation of balance and 
gait disorders in patients with mild cognitive impairment and Alzheimer's 
disease: Systematic review.",Alzheimer's disease,cognitive impairment,ambiguous,"Alzheimer's 
disease",cognitive impairment
"Virtual reality as a complementary therapy in the rehabilitation of balance and 
gait disorders in patients with mild cognitive impairment and Alzheimer's 
disease: Systematic review.",Alzheimer's disease,gait disorders,associated_with,"Alzheimer's 
disease",gait disorders
"ObjectiveTo analyse the benefits of virtual reality in the management of balance 
and gait disorders in people with Alzheimer's disease and cognitive 
impairment.",Alzheimer's disease,gait disorders,associated_with,"Alzheimer's disease and cognitive 
impairment",gait disorders
"The inclusion criteria were: 
randomised, cross-sectional, quasi-experimental controlled clinical trials 
involving patients diagnosed with mild cognitive impairment, dementia and 
Alzheimer's disease with a score of â?3 on the MMSE test and age â?0 years, and 
interventions conducted with virtual reality and conventional physiotherapy for 
the treatment of balance and gait disorders.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia
"The inclusion criteria were: 
randomised, cross-sectional, quasi-experimental controlled clinical trials 
involving patients diagnosed with mild cognitive impairment, dementia and 
Alzheimer's disease with a score of â?3 on the MMSE test and age â?0 years, and 
interventions conducted with virtual reality and conventional physiotherapy for 
the treatment of balance and gait disorders.",Alzheimer's disease,cognitive impairment,ambiguous,Alzheimer's disease,cognitive impairment
"The inclusion criteria were: 
randomised, cross-sectional, quasi-experimental controlled clinical trials 
involving patients diagnosed with mild cognitive impairment, dementia and 
Alzheimer's disease with a score of â?3 on the MMSE test and age â?0 years, and 
interventions conducted with virtual reality and conventional physiotherapy for 
the treatment of balance and gait disorders.",Alzheimer's disease,gait disorders,ambiguous,Alzheimer's disease,gait disorders
"ConclusionStudies suggest that 
interventions based on virtual environments in older adults with early 
Alzheimer's disease can improve balance and gait impairments, postural control 
and executive function, delaying the deterioration caused by the disease.",Alzheimer's disease,gait impairments,associated_with,Alzheimer's disease,gait impairments
"Elevated levels of circulating C1R protein increased the odds of 
developing Alzheimer's disease (AD), while PILRA and CELA2A were estimated to 
protect against the pathogenesis of AD; genetically predicted increase of 
Î±-synuclein and APOE elevated the occurrence of Dementia of Lewy Bodies (DLB); 
elevated level of circulating CRP was assessed to increase the onset of vascular 
dementia (VD).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Elevated levels of circulating C1R protein increased the odds of 
developing Alzheimer's disease (AD), while PILRA and CELA2A were estimated to 
protect against the pathogenesis of AD; genetically predicted increase of 
Î±-synuclein and APOE elevated the occurrence of Dementia of Lewy Bodies (DLB); 
elevated level of circulating CRP was assessed to increase the onset of vascular 
dementia (VD).",Alzheimer's disease,dlb,,Alzheimer's disease,DLB
"Elevated levels of circulating C1R protein increased the odds of 
developing Alzheimer's disease (AD), while PILRA and CELA2A were estimated to 
protect against the pathogenesis of AD; genetically predicted increase of 
Î±-synuclein and APOE elevated the occurrence of Dementia of Lewy Bodies (DLB); 
elevated level of circulating CRP was assessed to increase the onset of vascular 
dementia (VD).",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,Dementia
"Alzheimer's Disease (AD) is a neurodegenerative condition 
characterised by cognitive decline and memory impairment.",Alzheimer's disease,ad,equivalent,Alzheimer's Disease,AD
"Alzheimer's Disease (AD) is a neurodegenerative condition 
characterised by cognitive decline and memory impairment.",Alzheimer's disease,memory impairment,associated_with,Alzheimer's Disease,memory impairment
"Alzheimer's Disease (AD) is a neurodegenerative condition 
characterised by cognitive decline and memory impairment.",Alzheimer's disease,cognitive decline,associated_with,Alzheimer's Disease,cognitive decline
"Alzheimer's disease (AD), a prevalent neurodegenerative disorder, represents a 
significant global health challenge, characterized by cognitive decline and 
neuroinflammation.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Alzheimer's disease (AD), a prevalent neurodegenerative disorder, represents a 
significant global health challenge, characterized by cognitive decline and 
neuroinflammation.",Alzheimer's disease,neuroinflammation,associated_with,Alzheimer's disease,neuroinflammation
"Alzheimer's disease (AD), a prevalent neurodegenerative disorder, represents a 
significant global health challenge, characterized by cognitive decline and 
neuroinflammation.",Alzheimer's disease,cognitive decline,associated_with,Alzheimer's disease,cognitive decline
"Alzheimer's disease (AD), a prevalent neurodegenerative disorder, represents a 
significant global health challenge, characterized by cognitive decline and 
neuroinflammation.",Alzheimer's disease,neurodegenerative disorder,associated_with,Alzheimer's disease,neurodegenerative disorder
"Genes related to Alzheimer's 
disease (AD), Parkinson's disease (PD), and Huntington's disease (HD) were 
gathered using online databases.",Alzheimer's disease,ad,equivalent,"Alzheimer's 
disease",AD
"Genes related to Alzheimer's 
disease (AD), Parkinson's disease (PD), and Huntington's disease (HD) were 
gathered using online databases.",Alzheimer's disease,pd,ambiguous,"Alzheimer's 
disease",PD
"Genes related to Alzheimer's 
disease (AD), Parkinson's disease (PD), and Huntington's disease (HD) were 
gathered using online databases.",Alzheimer's disease,huntington's disease,ambiguous,"Alzheimer's 
disease",Huntington's disease
"Genes related to Alzheimer's 
disease (AD), Parkinson's disease (PD), and Huntington's disease (HD) were 
gathered using online databases.",Alzheimer's disease,hd,ambiguous,"Alzheimer's 
disease",HD
"Genes related to Alzheimer's 
disease (AD), Parkinson's disease (PD), and Huntington's disease (HD) were 
gathered using online databases.",Alzheimer's disease,parkinson's disease,ambiguous,"Alzheimer's 
disease",Parkinson's disease
"We highlight key 
innovations in EVs' molecular design, characterization, and deployment for 
treating diseases including Alzheimer's disease, infectious diseases, and 
cancers.",Alzheimer's disease,cancers,ambiguous,Alzheimer's disease,cancers
"We invited experts 
in the study of Alzheimer's disease and Related Disorders (ADRDs) to express 
their views on this paradigmatic shift in dementia management.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia
"This breakthrough could influence 
the development of therapeutic leads for combating diabetes, cancer, and 
Alzheimer's disease.",Alzheimer's disease,"diabetes, cancer",ambiguous,Alzheimer's disease,"diabetes, cancer"
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,neurodegenerative diseases,associated_with,Alzheimer's disease,neurodegenerative diseases
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,amyotrophic lateral sclerosis,ambiguous,Alzheimer's disease,amyotrophic lateral sclerosis
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,pd,ambiguous,Alzheimer's disease,PD
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,huntington's disease,ambiguous,Alzheimer's disease,Huntington's disease
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,hd,ambiguous,Alzheimer's disease,HD
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,als,ambiguous,Alzheimer's disease,ALS
"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), Alzheimer's disease (AD), and Amyotrophic Lateral Sclerosis (ALS).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), Alzheimer's disease (AD), and Amyotrophic Lateral Sclerosis (ALS).",Alzheimer's disease,pd,ambiguous,Alzheimer's disease,PD
"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), Alzheimer's disease (AD), and Amyotrophic Lateral Sclerosis (ALS).",Alzheimer's disease,"parkinson's 
disease",ambiguous,Alzheimer's disease,"Parkinson's 
disease"
"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), Alzheimer's disease (AD), and Amyotrophic Lateral Sclerosis (ALS).",Alzheimer's disease,neurodegenerative disorders,associated_with,Alzheimer's disease,neurodegenerative disorders
"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), Alzheimer's disease (AD), and Amyotrophic Lateral Sclerosis (ALS).",Alzheimer's disease,als,ambiguous,Alzheimer's disease,ALS
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by cognitive decline and memory loss, with amyloid-beta (AÎ²) 
plaques and acetylcholine deficits being central pathological features.",Alzheimer's disease,"amyloid-beta (aÎ²) 
plaques and acetylcholine",associated_with,Alzheimer's disease,
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by cognitive decline and memory loss, with amyloid-beta (AÎ²) 
plaques and acetylcholine deficits being central pathological features.",Alzheimer's disease,memory loss,associated_with,Alzheimer's disease,memory loss
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by cognitive decline and memory loss, with amyloid-beta (AÎ²) 
plaques and acetylcholine deficits being central pathological features.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by cognitive decline and memory loss, with amyloid-beta (AÎ²) 
plaques and acetylcholine deficits being central pathological features.",Alzheimer's disease,cognitive decline,associated_with,Alzheimer's disease,cognitive decline
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by cognitive decline and memory loss, with amyloid-beta (AÎ²) 
plaques and acetylcholine deficits being central pathological features.",Alzheimer's disease,neurodegenerative disorder,associated_with,Alzheimer's disease,neurodegenerative disorder
"Selenium (Se) is essential for many nervous system functions 
including memory, cognition and coordination, which has also been linked to a 
variety of neurological disorders, such as epilepsy, Alzheimer's disease (AD) 
and Parkinson's disease (PD).",Alzheimer's disease,epilepsy,ambiguous,Alzheimer's disease,epilepsy
"Selenium (Se) is essential for many nervous system functions 
including memory, cognition and coordination, which has also been linked to a 
variety of neurological disorders, such as epilepsy, Alzheimer's disease (AD) 
and Parkinson's disease (PD).",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease
"Selenium (Se) is essential for many nervous system functions 
including memory, cognition and coordination, which has also been linked to a 
variety of neurological disorders, such as epilepsy, Alzheimer's disease (AD) 
and Parkinson's disease (PD).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Selenium (Se) is essential for many nervous system functions 
including memory, cognition and coordination, which has also been linked to a 
variety of neurological disorders, such as epilepsy, Alzheimer's disease (AD) 
and Parkinson's disease (PD).",Alzheimer's disease,pd,ambiguous,Alzheimer's disease,PD
"Selenium (Se) is essential for many nervous system functions 
including memory, cognition and coordination, which has also been linked to a 
variety of neurological disorders, such as epilepsy, Alzheimer's disease (AD) 
and Parkinson's disease (PD).",Alzheimer's disease,neurological disorders,associated_with,Alzheimer's disease,neurological disorders
"Alzheimer's disease and insomnia: a bibliometric study and visualization 
analysis.",Alzheimer's disease,insomnia,ambiguous,Alzheimer's disease,insomnia
"Alzheimer's disease (AD) is the fastest-growing neurodegenerative 
disorder globally, with patient numbers expected to rise to 130 million by 2050.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"OBJECTIVE: To conduct a visual analysis of the relationship between Alzheimer's 
disease and insomnia using CiteSpace.",Alzheimer's disease,insomnia,ambiguous,"Alzheimer's 
disease and",insomnia
"Literature on ""insomnia"" and ""Alzheimer's disease"" published between 
January 1, 2000, and October 31, 2024, was retrieved from the Web of Science 
Core Collection.",Alzheimer's disease,insomnia,ambiguous,"Alzheimer's disease"" published between 
January 1, 2000, and October 31, 2024, was retrieved from the Web of Science 
Core Collection",insomnia
"White matter hyperintensities (WMHs) are strongly linked to 
cardiovascular risk factors and other health conditions such as Alzheimer's 
disease.",Alzheimer's disease,white matter hyperintensities,associated_with,"Alzheimer's 
disease",White matter hyperintensities
"White matter hyperintensities (WMHs) are strongly linked to 
cardiovascular risk factors and other health conditions such as Alzheimer's 
disease.",Alzheimer's disease,wmhs,associated_with,"Alzheimer's 
disease",WMHs
"Optimal IR preserves youthful immune profiles at any age, enhances 
vaccine responses, and reduces burdens of cardiovascular disease, Alzheimer's, 
and serious infections.",Alzheimer's disease,infections,ambiguous,Alzheimer,infections
"Optimal IR preserves youthful immune profiles at any age, enhances 
vaccine responses, and reduces burdens of cardiovascular disease, Alzheimer's, 
and serious infections.",Alzheimer's disease,cardiovascular disease,ambiguous,Alzheimer,cardiovascular disease
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder that 
affects more than 50 million people worldwide.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder that 
affects more than 50 million people worldwide.",Alzheimer's disease,neurodegenerative disorder,associated_with,Alzheimer's disease,neurodegenerative disorder
"Alzheimer's disease (AD) is a prominent neurodegenerative ailment 
characterized by the constraints of conventional therapies stemming from 
insufficient medication transport to the brain.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Alzheimer's disease (AD) is a prominent neurodegenerative ailment 
characterized by the constraints of conventional therapies stemming from 
insufficient medication transport to the brain.",Alzheimer's disease,neurodegenerative ailment,associated_with,Alzheimer's disease,neurodegenerative ailment
"While it protects the brain from toxins and 
pathogens, it also restricts the delivery of therapeutic agents, posing a 
significant challenge in treating CNS disorders such as Alzheimer's disease, 
Parkinson's disease, and glioblastoma.",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease
"While it protects the brain from toxins and 
pathogens, it also restricts the delivery of therapeutic agents, posing a 
significant challenge in treating CNS disorders such as Alzheimer's disease, 
Parkinson's disease, and glioblastoma.",Alzheimer's disease,glioblastoma,ambiguous,Alzheimer's disease,glioblastoma
"Acetylcholinesterase (AChE) is the enzyme targeted by drugs used for the 
symptomatic treatment of cognitive decline associated with Alzheimer's disease.",Alzheimer's disease,cognitive decline,associated_with,Alzheimer's disease,cognitive decline
"Cognitive resilience (CR) contributes to the variability in risk for developing 
and progressing in Alzheimer's disease (AD) among individuals.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Furthermore, we developed a 
Methylation-based Resilience Score (MRS) that successfully predicted future 
cognitive decline in an external dataset from the Alzheimer's Disease 
Neuroimaging Initiative (ADNI), even after accounting for age, sex, APOE Îµ4, 
years of education, baseline diagnosis, and baseline MMSE score.",Alzheimer's disease,cognitive decline,associated_with,"Alzheimer's Disease 
Neuroimaging Initiative (ADNI), even after accounting for age, sex, APOE Îµ4",cognitive decline
"Ethics approval was obtained from the 
institutional review boards of each institution involved: Oregon Health and 
Science University; University of Southern California; University of 
CaliforniaâSan Diego; University of Michigan; Mayo Clinic, Rochester; Baylor 
College of Medicine; Columbia University Medical Center; Washington University, 
St. Louis; University of Alabama at Birmingham; Mount Sinai School of Medicine; 
Rush University Medical Center; Wien Center; Johns Hopkins University; New York 
University; Duke University Medical Center; University of Pennsylvania; 
University of Kentucky; University of Pittsburgh; University of Rochester 
Medical Center; University of California, Irvine; University of Texas 
Southwestern Medical School; Emory University; University of Kansas, Medical 
Center; University of California, Los Angeles; Mayo Clinic, Jacksonville; 
Indiana University; Yale University School of Medicine; McGill University, 
Montreal-Jewish General Hospital; Sunnybrook Health Sciences, Ontario; U.B.C. 
Clinic for AD & Related Disorders; Cognitive NeurologyâSt. Josephâs, Ontario; 
Cleveland Clinic Lou Ruvo Center for Brain Health; Northwestern University; 
Premiere Research Inst (Palm Beach Neurology); Georgetown University Medical 
Center; Brigham and Womenâs Hospital; Stanford University; Banner Sun Health 
Research Institute; Boston University; Howard University; Case Western Reserve 
University; University of California, DavisâSacramento; Neurological Care of 
CNY; Parkwood Hospital; University of Wisconsin; University of California, 
IrvineâBIC; Banner Alzheimerâs Institute; Dent Neurologic Institute; Ohio State 
University; Albany Medical College; Hartford Hospital, Olin Neuropsychiatry 
Research Center; Dartmouth-Hitchcock Medical Center; Wake Forest University 
Health Sciences; Rhode Island Hospital; Butler Hospital; UC San Francisco; 
Medical University South Carolina; St. Josephâs Health Care Nathan Kline 
Institute; University of Iowa College of Medicine; Cornell University and 
University of South Florida: USF Health Byrd Alzheimerâs Institute.",Alzheimer's disease,& related disorders,ambiguous,,& Related Disorders
"doi: 10.1186/s13195-025-01730-w.

Correction: Investigating the AÎ² and tau pathology in autosomal dominant 
Alzheimer's disease: insights from hybrid PET/MRI and network mapping.",Alzheimer's disease,autosomal dominant,associated_with,Alzheimer's disease,autosomal dominant
"Author information:
(1)Huffington Center on Aging, Baylor College of Medicine, One Baylor Plaza, 
Houston, TX, 77030, USA.
(2)Department of Molecular and Human Genetics, Baylor College of Medicine, 
Houston, TX, USA.
(3)Department of Entomology and Nematology and UC Davis Comprehensive Cancer 
Center, University of California, Davis, CA, USA.
(4)Helen and Robert Appel Alzheimer's Disease Research Institute, Weill Cornell 
Medicine, New York, NY, USA.
(5)Huffington Center on Aging, Baylor College of Medicine, One Baylor Plaza, 
Houston, TX, 77030, USA.",Alzheimer's disease,uc,ambiguous,"Alzheimer's Disease Research Institute, Weill Cornell 
Medicine, New York, NY",UC
"Author information:
(1)Huffington Center on Aging, Baylor College of Medicine, One Baylor Plaza, 
Houston, TX, 77030, USA.
(2)Department of Molecular and Human Genetics, Baylor College of Medicine, 
Houston, TX, USA.
(3)Department of Entomology and Nematology and UC Davis Comprehensive Cancer 
Center, University of California, Davis, CA, USA.
(4)Helen and Robert Appel Alzheimer's Disease Research Institute, Weill Cornell 
Medicine, New York, NY, USA.
(5)Huffington Center on Aging, Baylor College of Medicine, One Baylor Plaza, 
Houston, TX, 77030, USA.",Alzheimer's disease,cancer,ambiguous,"Alzheimer's Disease Research Institute, Weill Cornell 
Medicine, New York, NY",Cancer
"Inhibition of sEH has been shown to stabilize the EETs and reduce 
neuroinflammation in AÎ² mouse models of Alzheimer's disease (AD).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Inhibition of sEH has been shown to stabilize the EETs and reduce 
neuroinflammation in AÎ² mouse models of Alzheimer's disease (AD).",Alzheimer's disease,neuroinflammation,associated_with,Alzheimer's disease,neuroinflammation
