sentence,entity_1,entity_2,relation_label,entity_1_original,entity_2_original,input_text
"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of Alzheimer's disease (AD) and other 
dementias, Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) and other 
dementias, Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021."
"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of Alzheimer's disease (AD) and other 
dementias, Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021.",Alzheimer's disease,idiopathic epilepsy,ambiguous,Alzheimer's disease,idiopathic epilepsy,"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of [E1] Alzheimer's disease [/E1] (AD) and other 
dementias, Parkinson's disease, multiple sclerosis, and [E2] idiopathic epilepsy [/E2] in 
women from 1990 to 2021."
"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of Alzheimer's disease (AD) and other 
dementias, Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021.",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease,"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of [E1] Alzheimer's disease [/E1] (AD) and other 
dementias, [E2] Parkinson's disease [/E2], multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021."
"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of Alzheimer's disease (AD) and other 
dementias, Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021.",Alzheimer's disease,multiple sclerosis,ambiguous,Alzheimer's disease,multiple sclerosis,"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of [E1] Alzheimer's disease [/E1] (AD) and other 
dementias, Parkinson's disease, [E2] multiple sclerosis [/E2], and idiopathic epilepsy in 
women from 1990 to 2021."
"We conducted a cross-sectional assessment of the effect of EQ and YoE 
on brain health in 7533 subjects from 20 countries, including healthy controls 
(HCs), Alzheimer's disease (AD), and frontotemporal lobar degeneration (FTLD).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"We conducted a cross-sectional assessment of the effect of EQ and YoE 
on brain health in 7533 subjects from 20 countries, including healthy controls 
(HCs), [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]), and frontotemporal lobar degeneration (FTLD)."
"We conducted a cross-sectional assessment of the effect of EQ and YoE 
on brain health in 7533 subjects from 20 countries, including healthy controls 
(HCs), Alzheimer's disease (AD), and frontotemporal lobar degeneration (FTLD).",Alzheimer's disease,frontotemporal lobar degeneration,ambiguous,Alzheimer's disease,frontotemporal lobar degeneration,"We conducted a cross-sectional assessment of the effect of EQ and YoE 
on brain health in 7533 subjects from 20 countries, including healthy controls 
(HCs), [E1] Alzheimer's disease [/E1] (AD), and [E2] frontotemporal lobar degeneration [/E2] (FTLD)."
"We conducted a cross-sectional assessment of the effect of EQ and YoE 
on brain health in 7533 subjects from 20 countries, including healthy controls 
(HCs), Alzheimer's disease (AD), and frontotemporal lobar degeneration (FTLD).",Alzheimer's disease,ftld,ambiguous,Alzheimer's disease,FTLD,"We conducted a cross-sectional assessment of the effect of EQ and YoE 
on brain health in 7533 subjects from 20 countries, including healthy controls 
(HCs), [E1] Alzheimer's disease [/E1] (AD), and frontotemporal lobar degeneration ([E2] FTLD [/E2])."
"It is a neurodegenerative illness-and the 
second most common type of dementia after Alzheimer's disease-that causes memory 
loss and severe problems in carrying out daily activities.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease-that,dementia,"It is a neurodegenerative illness-and the 
second most common type of [E2] dementia [/E2] after [E1] Alzheimer's disease-that [/E1] causes memory 
loss and severe problems in carrying out daily activities."
"It is a neurodegenerative illness-and the 
second most common type of dementia after Alzheimer's disease-that causes memory 
loss and severe problems in carrying out daily activities.",Alzheimer's disease,neurodegenerative illness-and,unrelated,Alzheimer's disease-that,neurodegenerative illness-and,"It is a [E2] neurodegenerative illness-and [/E2] the 
second most common type of dementia after [E1] Alzheimer's disease-that [/E1] causes memory 
loss and severe problems in carrying out daily activities."
"It is a neurodegenerative illness-and the 
second most common type of dementia after Alzheimer's disease-that causes memory 
loss and severe problems in carrying out daily activities.",Alzheimer's disease,"memory 
loss and severe problems in carrying out daily activities.",associated_with,Alzheimer's disease-that,"memory 
loss and severe problems in carrying out daily activities.","It is a neurodegenerative illness-and the 
second most common type of dementia after [E1] Alzheimer's disease-that [/E1] causes [E2] memory 
loss and severe problems in carrying out daily activities. [/E2]"
"Furthermore, emerging evidence suggests 
a connection between gut dysbiosis and neurodegenerative disorders such as 
Alzheimer's disease.",Alzheimer's disease,neurodegenerative disorders,associated_with,Alzheimer's disease,neurodegenerative disorders,"Furthermore, emerging evidence suggests 
a connection between gut dysbiosis and [E2] neurodegenerative disorders [/E2] such as 
[E1] Alzheimer's disease [/E1]."
"Furthermore, emerging evidence suggests 
a connection between gut dysbiosis and neurodegenerative disorders such as 
Alzheimer's disease.",Alzheimer's disease,dysbiosis,associated_with,Alzheimer's disease,dysbiosis,"Furthermore, emerging evidence suggests 
a connection between gut [E2] dysbiosis [/E2] and neurodegenerative disorders such as 
[E1] Alzheimer's disease [/E1]."
"Brain atrophy over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent cognitive impairment among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with Alzheimer's disease (AD) may begin years before clinical 
symptoms appear.",Alzheimer's disease,atrophy,associated_with,Alzheimer's disease,atrophy,"Brain [E2] atrophy [/E2] over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent cognitive impairment among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with [E1] Alzheimer's disease [/E1] (AD) may begin years before clinical 
symptoms appear."
"Brain atrophy over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent cognitive impairment among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with Alzheimer's disease (AD) may begin years before clinical 
symptoms appear.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"Brain atrophy over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent cognitive impairment among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) may begin years before clinical 
symptoms appear."
"Brain atrophy over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent cognitive impairment among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with Alzheimer's disease (AD) may begin years before clinical 
symptoms appear.",Alzheimer's disease,brain atrophy,associated_with,Alzheimer's disease,Brain atrophy,"[E2] Brain atrophy [/E2] over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent cognitive impairment among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with [E1] Alzheimer's disease [/E1] (AD) may begin years before clinical 
symptoms appear."
"Brain atrophy over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent cognitive impairment among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with Alzheimer's disease (AD) may begin years before clinical 
symptoms appear.",Alzheimer's disease,cognitive impairment,associated_with,Alzheimer's disease,cognitive impairment,"Brain atrophy over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent [E2] cognitive impairment [/E2] among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with [E1] Alzheimer's disease [/E1] (AD) may begin years before clinical 
symptoms appear."
"Alzheimer Disease (AD) represents a growing global health concern 
with profound socioeconomic implications, with predictions indicating a 
potential 50% increase in AD cases in Italy over the next 30 years.",Alzheimer's disease,ad,equivalent,Alzheimer Disease,AD,"[E1] Alzheimer Disease [/E1] ([E2] AD [/E2]) represents a growing global health concern 
with profound socioeconomic implications, with predictions indicating a 
potential 50% increase in AD cases in Italy over the next 30 years."
"Clinical 
differentiation of LBD from Alzheimer's disease (AD) remains complex due to 
symptom overlap, yet approximately 25% of dementia cases are diagnosed as LBD 
postmortem, primarily identified by the presence of ÃÂ±-synuclein aggregates, tau 
tangles, and amyloid plaques.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"Clinical 
differentiation of LBD from [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) remains complex due to 
symptom overlap, yet approximately 25% of dementia cases are diagnosed as LBD 
postmortem, primarily identified by the presence of ÃÂ±-synuclein aggregates, tau 
tangles, and amyloid plaques."
"Clinical 
differentiation of LBD from Alzheimer's disease (AD) remains complex due to 
symptom overlap, yet approximately 25% of dementia cases are diagnosed as LBD 
postmortem, primarily identified by the presence of ÃÂ±-synuclein aggregates, tau 
tangles, and amyloid plaques.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia,"Clinical 
differentiation of LBD from [E1] Alzheimer's disease [/E1] (AD) remains complex due to 
symptom overlap, yet approximately 25% of [E2] dementia [/E2] cases are diagnosed as LBD 
postmortem, primarily identified by the presence of ÃÂ±-synuclein aggregates, tau 
tangles, and amyloid plaques."
"doi: 10.1186/s12883-025-04192-7.

Potential association between allergic disease and risk of Alzheimer's disease: 
insight from genetic analysis.",Alzheimer's disease,allergic disease,associated_with,Alzheimer's disease,allergic disease,"doi: 10.1186/s12883-025-04192-7.

Potential association between [E2] allergic disease [/E2] and risk of [E1] Alzheimer's disease [/E1]: 
insight from genetic analysis."
"Numerous evidence from observational studies indicated an association 
between allergic diseases and Alzheimer's Disease (AD).",Alzheimer's disease,ad,equivalent,Alzheimer's Disease,AD,"Numerous evidence from observational studies indicated an association 
between allergic diseases and [E1] Alzheimer's Disease [/E1] ([E2] AD [/E2])."
"Numerous evidence from observational studies indicated an association 
between allergic diseases and Alzheimer's Disease (AD).",Alzheimer's disease,allergic diseases,associated_with,Alzheimer's Disease,allergic diseases,"Numerous evidence from observational studies indicated an association 
between [E2] allergic diseases [/E2] and [E1] Alzheimer's Disease [/E1] (AD)."
"vjohn@mednet.ucla.edu.
(#)Contributed equally

Decreased expression of sirtuin 1 (SirT1) has been implicated in Alzheimer's 
disease (AD), and as we previously reported, is related to transcriptional 
repression by the major risk factor for sporadic AD, apolipoprotein E4 (ApoE4).",Alzheimer's disease,ad,equivalent,"Alzheimer's 
disease",AD,"vjohn@mednet.ucla.edu.
(#)Contributed equally

Decreased expression of sirtuin 1 (SirT1) has been implicated in [E1] Alzheimer's 
disease [/E1] ([E2] AD [/E2]), and as we previously reported, is related to transcriptional 
repression by the major risk factor for sporadic AD, apolipoprotein E4 (ApoE4)."
"Dementia 
encompasses Alzheimer's disease, Parkinson's disease, Huntington's disease, Lewy 
body dementia, mixed dementia, and various other diseases.",Alzheimer's disease,huntington's disease,ambiguous,Alzheimer's disease,Huntington's disease,"Dementia 
encompasses [E1] Alzheimer's disease [/E1], Parkinson's disease, [E2] Huntington's disease [/E2], Lewy 
body dementia, mixed dementia, and various other diseases."
"Dementia 
encompasses Alzheimer's disease, Parkinson's disease, Huntington's disease, Lewy 
body dementia, mixed dementia, and various other diseases.",Alzheimer's disease,lewy,ambiguous,Alzheimer's disease,Lewy,"Dementia 
encompasses [E1] Alzheimer's disease [/E1], Parkinson's disease, Huntington's disease, [E2] Lewy [/E2] 
body dementia, mixed dementia, and various other diseases."
"Dementia 
encompasses Alzheimer's disease, Parkinson's disease, Huntington's disease, Lewy 
body dementia, mixed dementia, and various other diseases.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,Dementia,"[E2] Dementia [/E2] 
encompasses [E1] Alzheimer's disease [/E1], Parkinson's disease, Huntington's disease, Lewy 
body dementia, mixed dementia, and various other diseases."
"Dementia 
encompasses Alzheimer's disease, Parkinson's disease, Huntington's disease, Lewy 
body dementia, mixed dementia, and various other diseases.",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease,"Dementia 
encompasses [E1] Alzheimer's disease [/E1], [E2] Parkinson's disease [/E2], Huntington's disease, Lewy 
body dementia, mixed dementia, and various other diseases."
"Among 
these, dichotic tests were identified as having the strongest association with 
cognitive decline, probable Alzheimer's disease, or dementia.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia,"Among 
these, dichotic tests were identified as having the strongest association with 
cognitive decline, probable [E1] Alzheimer's disease [/E1], or [E2] dementia [/E2]."
"Among 
these, dichotic tests were identified as having the strongest association with 
cognitive decline, probable Alzheimer's disease, or dementia.",Alzheimer's disease,cognitive decline,ambiguous,Alzheimer's disease,cognitive decline,"Among 
these, dichotic tests were identified as having the strongest association with 
[E2] cognitive decline [/E2], probable [E1] Alzheimer's disease [/E1], or dementia."
"Microglia-mediated neuroinflammation plays a critical role in the onset and 
progression of Alzheimer's disease.",Alzheimer's disease,neuroinflammation,associated_with,Alzheimer's disease,neuroinflammation,"Microglia-mediated [E2] neuroinflammation [/E2] plays a critical role in the onset and 
progression of [E1] Alzheimer's disease [/E1]."
"The primary outcome was overall dementia 
incidence, including vascular dementia, Alzheimer's disease, and other subtypes.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia,"The primary outcome was overall [E2] dementia [/E2] 
incidence, including vascular dementia, [E1] Alzheimer's disease [/E1], and other subtypes."
"Reductions were observed in vascular 
dementia (0.8% vs. 2.0%; aHR 0.87), Alzheimer's dementia (1.1% vs. 3.2%; aHR, 
0.76), and all-cause mortality (6.8% vs. 15.4%; aHR, 0.92).",Alzheimer's disease,dementia,ambiguous,Alzheimer's dementia,dementia,"Reductions were observed in vascular 
[E2] dementia [/E2] (0.8% vs. 2.0%; aHR 0.87), [E1] Alzheimer's dementia [/E1] (1.1% vs. 3.2%; aHR, 
0.76), and all-cause mortality (6.8% vs. 15.4%; aHR, 0.92)."
"Secondary outcomes included 
dementia-related drug use and subtypes of dementia, such as Alzheimer's disease 
and vascular dementia.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia,"Secondary outcomes included 
[E2] dementia [/E2]-related drug use and subtypes of dementia, such as [E1] Alzheimer's disease [/E1] 
and vascular dementia."
"Similar reductions were observed for 
dementia-related drug use (HR, 0.69; 95Ã¢Â? CI: 0.64-0.74; pÃ¢Â?Ã¢Â?.001), Alzheimer's 
disease (HR, 0.53; 95Ã¢Â? CI: 0.48-0.60; pÃ¢Â?Ã¢Â?.001), and vascular dementia (HR, 
0.52;",Alzheimer's disease,vascular dementia,ambiguous,"Alzheimer's 
disease",vascular dementia,"Similar reductions were observed for 
dementia-related drug use (HR, 0.69; 95Ã¢Â? CI: 0.64-0.74; pÃ¢Â?Ã¢Â?.001), [E1] Alzheimer's 
disease [/E1] (HR, 0.53; 95Ã¢Â? CI: 0.48-0.60; pÃ¢Â?Ã¢Â?.001), and [E2] vascular dementia [/E2] (HR, 
0.52;"
"Advanced glycation end-products (AGEs) formation in proteins 
are involved in healthy aging and a variety of diseases including Alzheimer's 
disease, atherosclerosis, and diabetic complications.",Alzheimer's disease,atherosclerosis,ambiguous,"Alzheimer's 
disease",atherosclerosis,"Advanced glycation end-products (AGEs) formation in proteins 
are involved in healthy aging and a variety of diseases including [E1] Alzheimer's 
disease [/E1], [E2] atherosclerosis [/E2], and diabetic complications."
"Advanced glycation end-products (AGEs) formation in proteins 
are involved in healthy aging and a variety of diseases including Alzheimer's 
disease, atherosclerosis, and diabetic complications.",Alzheimer's disease,diabetic complications,ambiguous,"Alzheimer's 
disease",diabetic complications,"Advanced glycation end-products (AGEs) formation in proteins 
are involved in healthy aging and a variety of diseases including [E1] Alzheimer's 
disease [/E1], atherosclerosis, and [E2] diabetic complications [/E2]."
"Blockage of CCL3 with neutralizing antibody reduces neuroinflammation and 
reverses Alzheimer disease phenotypes.",Alzheimer's disease,neuroinflammation,ambiguous,Alzheimer disease,neuroinflammation,"Blockage of CCL3 with neutralizing antibody reduces [E2] neuroinflammation [/E2] and 
reverses [E1] Alzheimer disease [/E1] phenotypes."
"Electronic address: xiehengge@163.com.cn.

BACKGROUND: Accumulating evidence indicates that neuroinflammation is involved 
in the pathogenesis of Alzheimer's disease (AD).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"Electronic address: xiehengge@163.com.cn.

BACKGROUND: Accumulating evidence indicates that neuroinflammation is involved 
in the pathogenesis of [E1] Alzheimer's disease [/E1] ([E2] AD [/E2])."
"Electronic address: xiehengge@163.com.cn.

BACKGROUND: Accumulating evidence indicates that neuroinflammation is involved 
in the pathogenesis of Alzheimer's disease (AD).",Alzheimer's disease,neuroinflammation,associated_with,Alzheimer's disease,neuroinflammation,"Electronic address: xiehengge@163.com.cn.

BACKGROUND: Accumulating evidence indicates that [E2] neuroinflammation [/E2] is involved 
in the pathogenesis of [E1] Alzheimer's disease [/E1] (AD)."
"Furthermore, BSP 
supplementation enhances resistance to H2O2-induced oxidative and starvation 
stresses, attenuates the lead (Pb)-induced toxicity, and delays the onset of 
Alzheimer's phenotypes in flies.",Alzheimer's disease,toxicity,ambiguous,Alzheimer's phenotypes in flies.,toxicity,"Furthermore, BSP 
supplementation enhances resistance to H2O2-induced oxidative and starvation 
stresses, attenuates the lead (Pb)-induced [E2] toxicity [/E2], and delays the onset of 
[E1] Alzheimer's phenotypes in flies. [/E1]"
"Alzheimer's disease (AD) represents a progressive neurodegenerative disorder 
marked by complex pathologies.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"[E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) represents a progressive neurodegenerative disorder 
marked by complex pathologies."
"Alzheimer's disease (AD) represents a progressive neurodegenerative disorder 
marked by complex pathologies.",Alzheimer's disease,neurodegenerative disorder,associated_with,Alzheimer's disease,neurodegenerative disorder,"[E1] Alzheimer's disease [/E1] (AD) represents a progressive [E2] neurodegenerative disorder [/E2] 
marked by complex pathologies."
"The authors 
declare the following financial interests/personal relationships which may be 
considered as potential competing interests: PCD has received grant support by 
the Medical Research Council, the Lewy Body Society, AlzheimerÃ¢ÂÂs Society and 
Alzheimer's Research UK.",Alzheimer's disease,pcd,unrelated,,PCD,"The authors declare the following financial interests/personal relationships which may be considered as potential competing interests: [E2] PCD [/E2] has received grant support by the Medical Research Council, the Lewy Body Society, [E1] Alzheimer [/E1] Ã¢ÂÂs Society and Alzheimer's Research UK."
"This 
study aimed to determine whether MetS and its individual components increase the 
risk of YOD, including all-cause dementia, Alzheimer disease (AD), and vascular 
dementia (VaD).",Alzheimer's disease,ad,equivalent,Alzheimer disease,AD,"This 
study aimed to determine whether MetS and its individual components increase the 
risk of YOD, including all-cause dementia, [E1] Alzheimer disease [/E1] ([E2] AD [/E2]), and vascular 
dementia (VaD)."
"This 
study aimed to determine whether MetS and its individual components increase the 
risk of YOD, including all-cause dementia, Alzheimer disease (AD), and vascular 
dementia (VaD).",Alzheimer's disease,vad,ambiguous,Alzheimer disease,VaD,"This 
study aimed to determine whether MetS and its individual components increase the 
risk of YOD, including all-cause dementia, [E1] Alzheimer disease [/E1] (AD), and vascular 
dementia ([E2] VaD [/E2])."
"This 
study aimed to determine whether MetS and its individual components increase the 
risk of YOD, including all-cause dementia, Alzheimer disease (AD), and vascular 
dementia (VaD).",Alzheimer's disease,dementia,ambiguous,Alzheimer disease,dementia,"This 
study aimed to determine whether MetS and its individual components increase the 
risk of YOD, including all-cause [E2] dementia [/E2], [E1] Alzheimer disease [/E1] (AD), and vascular 
dementia (VaD)."
"This 
study aimed to determine whether MetS and its individual components increase the 
risk of YOD, including all-cause dementia, Alzheimer disease (AD), and vascular 
dementia (VaD).",Alzheimer's disease,yod,associated_with,Alzheimer disease,YOD,"This 
study aimed to determine whether MetS and its individual components increase the 
risk of [E2] YOD [/E2], including all-cause dementia, [E1] Alzheimer disease [/E1] (AD), and vascular 
dementia (VaD)."
"EPIC-Potsdam sub-cohort study: The early role of trace elements, oxidative 
stress, and anthropometrics in Alzheimer's disease and dementia onset.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia,"EPIC-Potsdam sub-cohort study: The early role of trace elements, oxidative 
stress, and anthropometrics in [E1] Alzheimer's disease [/E1] and [E2] dementia [/E2] onset."
"BackgroundSerum trace elements, anthropometric data, and oxidative stress 
markers are often altered in patients diagnosed with Alzheimer's disease (AD) or 
other types of dementia (OTD).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"BackgroundSerum trace elements, anthropometric data, and oxidative stress 
markers are often altered in patients diagnosed with [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) or 
other types of dementia (OTD)."
"BackgroundSerum trace elements, anthropometric data, and oxidative stress 
markers are often altered in patients diagnosed with Alzheimer's disease (AD) or 
other types of dementia (OTD).",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia,"BackgroundSerum trace elements, anthropometric data, and oxidative stress 
markers are often altered in patients diagnosed with [E1] Alzheimer's disease [/E1] (AD) or 
other types of [E2] dementia [/E2] (OTD)."
"ObjectiveThis nested 
case-control study aims to investigate anthropometric data, serum trace 
elements, exchangeable copper (CuEXC), and oxidative stress markers to identify 
early associations with the risk of AD or OTD.MethodsFrom the European 
Prospective Investigation into Cancer and Nutrition-Potsdam cohort (DRKS-ID: 
DRKS00020593), the High Fat Diet, Microbiota, and Neuroinflammation in the 
Progression of Alzheimer study was generated.",Alzheimer's disease,cancer,unrelated,Alzheimer study,Cancer,"ObjectiveThis nested 
case-control study aims to investigate anthropometric data, serum trace 
elements, exchangeable copper (CuEXC), and oxidative stress markers to identify 
early associations with the risk of AD or OTD.MethodsFrom the European 
Prospective Investigation into [E2] Cancer [/E2] and Nutrition-Potsdam cohort (DRKS-ID: 
DRKS00020593), the High Fat Diet, Microbiota, and Neuroinflammation in the 
Progression of [E1] Alzheimer study [/E1] was generated."
"ObjectiveThis nested 
case-control study aims to investigate anthropometric data, serum trace 
elements, exchangeable copper (CuEXC), and oxidative stress markers to identify 
early associations with the risk of AD or OTD.MethodsFrom the European 
Prospective Investigation into Cancer and Nutrition-Potsdam cohort (DRKS-ID: 
DRKS00020593), the High Fat Diet, Microbiota, and Neuroinflammation in the 
Progression of Alzheimer study was generated.",Alzheimer's disease,neuroinflammation,associated_with,Alzheimer study,Neuroinflammation,"ObjectiveThis nested 
case-control study aims to investigate anthropometric data, serum trace 
elements, exchangeable copper (CuEXC), and oxidative stress markers to identify 
early associations with the risk of AD or OTD.MethodsFrom the European 
Prospective Investigation into Cancer and Nutrition-Potsdam cohort (DRKS-ID: 
DRKS00020593), the High Fat Diet, Microbiota, and [E2] Neuroinflammation [/E2] in the 
Progression of [E1] Alzheimer study [/E1] was generated."
"Background: Alzheimer's disease and related dementias (ADRD) are 
neurodegenerative disorders that afflict 1 in 9 older adults.",Alzheimer's disease,dementias,associated_with,Alzheimer's disease,dementias,"Background: [E1] Alzheimer's disease [/E1] and related [E2] dementias [/E2] (ADRD) are 
neurodegenerative disorders that afflict 1 in 9 older adults."
"Background: Alzheimer's disease and related dementias (ADRD) are 
neurodegenerative disorders that afflict 1 in 9 older adults.",Alzheimer's disease,neurodegenerative disorders,associated_with,Alzheimer's disease,neurodegenerative disorders,"Background: [E1] Alzheimer's disease [/E1] and related dementias (ADRD) are 
[E2] neurodegenerative disorders [/E2] that afflict 1 in 9 older adults."
"Background: Alzheimer's disease and related dementias (ADRD) are 
neurodegenerative disorders that afflict 1 in 9 older adults.",Alzheimer's disease,adrd,associated_with,Alzheimer's disease,ADRD,"Background: [E1] Alzheimer's disease [/E1] and related dementias ([E2] ADRD [/E2]) are 
neurodegenerative disorders that afflict 1 in 9 older adults."
"BackgroundThe alternative splicing (AS) of MAPT, which encodes Tau, in the adult 
human brain produces six major isoforms that play critical roles in the 
pathogenesis of tauopathies including Alzheimer's disease.",Alzheimer's disease,tauopathies,associated_with,Alzheimer's disease,tauopathies,"BackgroundThe alternative splicing (AS) of MAPT, which encodes Tau, in the adult 
human brain produces six major isoforms that play critical roles in the 
pathogenesis of [E2] tauopathies [/E2] including [E1] Alzheimer's disease [/E1]."
"BackgroundCurrent therapies for cognitive impairment, including Alzheimer's 
disease (AD) and mild cognitive impairment, are limited by a lack of universal 
treatment and adverse effects associated with polypharmacy.",Alzheimer's disease,ad,equivalent,"Alzheimer's 
disease",AD,"BackgroundCurrent therapies for cognitive impairment, including [E1] Alzheimer's 
disease [/E1] ([E2] AD [/E2]) and mild cognitive impairment, are limited by a lack of universal 
treatment and adverse effects associated with polypharmacy."
"BackgroundCurrent therapies for cognitive impairment, including Alzheimer's 
disease (AD) and mild cognitive impairment, are limited by a lack of universal 
treatment and adverse effects associated with polypharmacy.",Alzheimer's disease,cognitive impairment,associated_with,"Alzheimer's 
disease",cognitive impairment,"BackgroundCurrent therapies for [E2] cognitive impairment [/E2], including [E1] Alzheimer's 
disease [/E1] (AD) and mild cognitive impairment, are limited by a lack of universal 
treatment and adverse effects associated with polypharmacy."
"BackgroundThe involvement of microglia is likely to be pivotal in the 
pathogenesis of Alzheimer's disease (AD) by modulating the deposition of 
amyloid-ÃÂ² (AÃÂ²) plaques.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"BackgroundThe involvement of microglia is likely to be pivotal in the 
pathogenesis of [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) by modulating the deposition of 
amyloid-ÃÂ² (AÃÂ²) plaques."
"BackgroundLow-intensity focused ultrasound (LIFU), a non-invasive targeted brain 
stimulation technology, has shown promise for therapeutic applications in 
Alzheimer's disease (AD) patients.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"BackgroundLow-intensity focused ultrasound (LIFU), a non-invasive targeted brain 
stimulation technology, has shown promise for therapeutic applications in 
[E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) patients."
"BackgroundImpairments in orientation in space, time, and person occur frequently 
in Alzheimer's disease (AD) dementia.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,,"BackgroundImpairments in orientation in space, time, and person occur frequently 
in [E1] Alzheimer's disease [/E1] (AD) [E2] dementia [/E2]."
"BackgroundLecanemab, a monoclonal antibody targeting amyloid-ÃÂ² plaques, is 
FDA-approved for early Alzheimer's disease (AD) treatment.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"BackgroundLecanemab, a monoclonal antibody targeting amyloid-ÃÂ² plaques, is 
FDA-approved for early [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) treatment."
"ObjectiveThis study aims to integrate single-nuclei sequencing data from 
the Seattle Alzheimer's Disease Cortical Atlas (SEA-AD) with spatial 
transcriptomics to quantify cellular changes in the prefrontal cortex and 
temporal gyrus, regions vulnerable to AD neuropathological changes 
(ADNC).MethodsWe mapped differentially expressed genes (DEGs) and analyzed their 
interactions with pathological factors such as APOE expression and Lewy bodies.",Alzheimer's disease,lewy,unrelated,Alzheimer's Disease Cortical Atlas,Lewy,"ObjectiveThis study aims to integrate single-nuclei sequencing data from 
the Seattle [E1] Alzheimer's Disease Cortical Atlas [/E1] (SEA-AD) with spatial 
transcriptomics to quantify cellular changes in the prefrontal cortex and 
temporal gyrus, regions vulnerable to AD neuropathological changes 
(ADNC).MethodsWe mapped differentially expressed genes (DEGs) and analyzed their 
interactions with pathological factors such as APOE expression and [E2] Lewy [/E2] bodies."
